StartDate,EndDate,Progress,Finished,RecordedDate,ResponseId,Twitter use,AI understanding,Application,Experience,Moderation,Benefit to user,Fairness,Trust algorithm mod.,Human moderation,Race discr.,Sexual orient discr.,Gender discr.,Religion discr.,Effective moderation,AI acceleration,AI + human,Hate speech,Misinformation,Disinformation,Political spectrum_1,Minimum wage_1,Schooling_1,Immigrants_1,Helping needy_1,Country,Education,Gender,Ethnicity,Income,Age,Political_leaning_score,Familiarity_with_AI_score,Trust_in_AI_score,Efficacy_of_AI_moderation_score,Standardized_Familiarity_with_AI_score,Standardized_Trust_in_AI_score,Standardized_Efficacy_of_AI_moderation_score,Standardized_Political_leaning_score
2024-03-18 09:03:45,2024-03-18 09:10:58,100,True,2024-03-18 09:10:59,R_23hF9K5oari9Unn,4.0,4.0,5.0,6.0,3.0,4.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,5.0,6.0,4.0,5.0,5.0,2.0,2.0,0.0,2.0,1.0,netherlands,1.0,1.0,0.0,,20,1.4,4.5,1.875,4.5,-0.608482328199765,-1.1563271139333564,0.7835548256600265,-0.6838549744865744
2024-03-18 12:46:01,2024-03-18 12:49:40,100,True,2024-03-18 12:49:41,R_8jd4E7te3KEQMLo,4.0,7.0,7.0,7.0,3.0,5.0,1.0,3.0,5.0,1.0,1.0,1.0,1.0,1.0,6.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,netherlands,2.0,1.0,0.0,0.0,24,0.4,6.0,2.25,2.0,0.6914571911360969,-0.8673945682634607,-1.503224325328852,-1.2235965441599008
2024-03-18 10:23:40,2024-03-18 13:16:00,100,True,2024-03-18 13:16:01,R_2lcRwy06GYn2YkZ,4.0,7.0,7.0,6.0,6.0,5.0,4.0,5.0,7.0,3.0,3.0,3.0,3.0,1.0,5.0,7.0,2.0,5.0,5.0,1.0,2.0,0.0,0.0,0.0,netherlands,2.0,1.0,0.0,1.0,21,0.6,6.5,4.125,4.166666666666667,1.1247703642480509,0.5772681600860177,0.47865093886150967,-1.1156482302252353
2024-03-19 07:24:11,2024-03-19 07:28:52,100,True,2024-03-19 07:28:53,R_7yjWeVaBfUTEsJi,3.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,1.0,6.0,4.0,2.0,3.0,2.0,2.0,0.0,0.0,5.0,1.0,united kingdom of great britain and northern ireland,4.0,0.0,0.0,5.0,57,1.6,5.0,4.25,3.0,-0.175169155087811,0.6735790086426495,-0.5885126649333006,-0.575906660551909
2024-03-19 10:05:12,2024-03-19 10:07:53,100,True,2024-03-19 10:07:54,R_2B9XbJBBzNciIZr,4.0,6.0,6.0,5.0,6.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,7.0,1.0,1.0,1.0,8.0,4.0,8.0,2.0,6.0,united kingdom of great britain and northern ireland,5.0,1.0,6.0,3.0,26,5.6,5.75,1.25,2.1666666666666665,0.47480060458011997,-1.6378813567165158,-1.3507723819295936,1.5830596181413965
2024-03-20 04:20:15,2024-03-20 04:27:28,100,True,2024-03-20 04:27:28,R_2SoVDgjlZar5ktz,1.0,5.0,6.0,4.0,5.0,4.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,2.0,2.0,2.0,3.0,4.0,0.0,3.0,2.8863636363636362,poland,1.0,1.0,0.0,2.0,20,2.577272727272727,5.0,2.5,3.0,-0.175169155087811,-0.6747728711501969,-0.5885126649333006,-0.048431944734794626
2024-03-20 05:10:29,2024-03-20 05:16:04,100,True,2024-03-20 05:16:05,R_2DirM7AwDXDqy6u,4.0,5.0,6.0,6.0,5.0,3.0,2.0,5.0,5.0,4.0,4.0,4.0,4.0,6.0,5.0,5.0,3.0,2.0,2.0,9.0,8.0,2.0,4.0,6.0,netherlands,1.0,0.0,6.0,,21,5.8,5.5,3.875,3.8333333333333335,0.258144018024143,0.38464646297275384,0.1737470520629924,1.6910079320760618
2024-03-20 05:16:05,2024-03-20 05:20:58,100,True,2024-03-20 05:20:58,R_3OMIIP7b1oTBfmE,1.0,2.0,1.0,1.0,1.0,5.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,4.5227272727272725,6.0,7.0,7.0,5.0,0.0,0.0,0.0,1.0,0.0,germany,1.0,1.0,0.0,0.0,21,0.2,1.25,2.625,5.253787878787879,-3.425017953427466,-0.578462022593565,1.473053387852128,-1.331544858094566
2024-03-20 05:47:09,2024-03-20 05:52:42,100,True,2024-03-20 05:52:43,R_1Icr457I2acyTOy,1.0,6.0,4.0,4.0,2.0,2.0,1.0,1.0,4.0,2.0,2.0,2.0,1.0,1.0,1.0,4.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,1.0,germany,4.0,1.0,0.0,0.0,27,0.6,4.0,1.875,1.8333333333333333,-1.041795501311719,-1.1563271139333564,-1.6556762687281108,-1.1156482302252353
2024-03-20 05:47:22,2024-03-20 05:53:03,100,True,2024-03-20 05:53:04,R_5DjOnR9El85NBE0,4.0,5.0,6.0,2.0,6.0,5.0,5.0,5.0,6.0,3.0,3.0,3.0,3.0,2.0,5.0,6.0,2.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,germany,1.0,2.0,0.0,0.0,23,0.0,4.75,4.125,3.8333333333333335,-0.391825741643788,0.5772681600860177,0.1737470520629924,-1.4394931720292312
