created_at_fuzzy,state_likely_tweeted_from,text,source,display_text_width,lang,favorite_count,retweet_count,is_quote,followers_count,friends_count,listed_count,statuses_count,favourites_count
2021-02-27T00:08:17Z,Ohio,@disco_socialist Been saying this ever since Trump made fun of his wife,Twitter for Android,54,en,0,0,False,542,769,4,36829,7943
2020-11-02T12:13:59Z,North Carolina,Almost midnight in Miami and Trump is having a rally. His fifth of the day. https://t.co/Ki2BwHU9Fa,Twitter for iPhone,75,en,0,0,False,2689,2273,92,701418,163354
2020-08-12T01:06:57Z,Texas,BREAKING: Joe Biden has picked Kamala Harris to be his running mate.,Twitter for iPhone,68,en,0,0,False,41,471,4,850,2787
2021-03-14T05:07:36Z,Texas,@JonLemire Did you also complain about Trump's weekend trips to golf at Mar-a-lago? The rallies during a pandemic? 🦗🦗🦗,Twitter for Android,107,en,1,0,False,2193,2339,3,116614,56862
2021-04-21T13:58:07Z,Virginia,"@AngelinaDDD2 We talk about returning to normalcy, how, when, will it really happen? We talk about recovering and moving on, will it happen?
Well on 100 days, our President, Joe Biden has led us on this journey. We can see a return. 
This man, this people’s man CARES. 
Thank you sir! 🇺🇸🇺🇸🇺🇸",Twitter Web App,277,en,3,0,False,136,151,0,6763,4295
2020-11-21T21:02:41Z,Alabama,"President-elect @JoeBiden  is moving quickly to fill out his administration and could name top leaders for his Cabinet as early as next week.
https://t.co/W8cEmTBskw",Twitter Web App,165,en,0,0,False,1951,107,23,3852,26
2021-01-28T20:31:47Z,Florida,"@AntonioSabatojr This is truly scary. I’m scared for the people of our country who believe in our freedom, the troops who fight everyday for us! The government wants to take it all away for their power and control; persecute those who fight! I’m scared for what is to come! I miss Trump terribly!",Twitter for iPhone,279,en,1,0,False,45,246,2,354,781
2020-12-16T19:07:58Z,Mississippi,@realDonaldTrump We must rise against the democrats involved right now if we want to remain the land of the free. New World Order doesn’t mean freedom. Even Biden may think it is to the extent that he wants it to be. Keep in mind that he can’t even make a sentence. Already we are at disadvantage,Twitter for iPhone,279,en,0,0,False,56,353,0,1680,528
2020-10-10T22:49:21Z,Michigan,@DonaldJTrumpJr Because they aren’t patriots like us trump supporters! All of the Biden house flags are just lies to hide the fact that they hate America!,Twitter for iPhone,138,en,0,0,False,0,5,0,28,0
2020-11-08T05:23:26Z,Illinois,"@CNNPolitics @CNN you are dreaming , joe biden is old way democrat same as usual",Twitter Web App,62,en,0,0,False,16,105,0,2991,288
2020-12-14T23:47:37Z,Missouri,"@SikOfThisBS @Pithynotpithy @GovParsonMO He lost the election. Sounds like you do not understand how our election process works. On Inauguration Day, Trump will be out! https://t.co/TAmfhrYXRK",Twitter for iPhone,127,en,0,0,False,3,82,0,75,1095
2021-03-02T23:17:38Z,Illinois,@kylegriffin1 And that number will drop steep if Biden and the Dem caucus fail to provide relief and a minimum wage increase soon. #killthefilibuster,Twitter for iPhone,135,en,0,0,False,1191,297,55,19588,22865
2021-02-03T20:25:17Z,Texas,@scrowder Biden want illegals to get first choice with all the benefits they deserve with retro back to when they first entered the country.,Twitter for iPhone,130,en,0,0,False,36,53,1,398,366
2020-11-12T22:55:03Z,Maryland,@TheRightMelissa @realDonaldTrump 100% if it weren’t for covid I don’t Believe Biden would be on the ticket. Just like Hilary didn’t really win her primary Bernie did and they proved that last year YET not dramatically publicized at all WTF,Twitter for iPhone,206,en,0,0,False,334,1053,11,6660,4568
2020-12-02T23:57:31Z,California,"@gtconway3d Trump: I....Thought...We..were....friends.
(Cue music: ""Hello Darkness my old friend"") sorry Simon and Garfunkel, Sound of Silence just seems so fitting. https://t.co/f2qzAzzwIm",Twitter for Android,153,en,3,0,False,501,1667,4,674,728
2020-10-03T04:38:53Z,Virginia,@thehill Now do Trump.,Twitter for Android,13,en,3,0,False,130,811,0,4505,48731
2021-04-28T05:12:26Z,Illinois,"President Joe Biden spent the weekend as the ""Hamburglar"" in the conservative media world. The story moved with damaging speed and breadth. It wasn't true. https://t.co/fPM7b9cG6S",SocialNewsDesk,179,en,0,0,False,2756,69,125,32455,13
2020-08-30T01:38:26Z,Ohio,@KamalaHarris @KamalaHQ Believe me I’m on your side. But I don’t see any campaigning. I don’t see any response to RNC LIES.  I scan the tunes for articles about Biden d as Nd it’s all as bout Trump. WHEN WILL YOU GET MORE VISIBILITY TO YOUR CAMOSIGN EFFORTS???,Twitter for iPhone,236,en,0,0,False,6,66,0,283,583
2020-12-18T11:07:11Z,Kentucky,@senatemajldr Trump is going to remain our president!,Twitter for Android,39,en,0,0,False,179,332,1,3982,3233
