Unnamed: 0,verdict,statement_originator,statement,statement_date,statement_source,factchecker,factcheck_date,factcheck_analysis_link,Toxicity,Fact assessment
1883,true,Randolph Bracy,"""There are no federal or state laws that say prosecutors must seek death sentences. And the United States Supreme Court has banned all state laws that make executions mandatory for murders.""",4/4/2017,news,Amy Sherman,4/6/2017,https://www.politifact.com/factchecks/2017/apr/06/randolph-bracy/has-us-supreme-court-banned-all-state-laws-make-ex/,1,true
18376,mostly-false,Mike Pence,"Says Donald Trump ""never said that"" more nations should get nuclear weapons.",10/4/2016,speech,Lauren Carroll,10/5/2016,https://www.politifact.com/factchecks/2016/oct/05/mike-pence/debate-mike-pence-claims-trump-never-said-more-nat/,1,False
2311,mostly-false,Viral image,"Photo shows ""7 Marines killed in training exercise yesterday.""",8/1/2020,social_media,Ciara O'Rourke,8/4/2020,https://www.politifact.com/factchecks/2020/aug/04/viral-image/facebook-post-blends-facts-two-fatal-marine-traini/,1,Unverifiable
6607,mostly-false,Viral image,"A patient discharge document proves that ""The WHO and CDC do NOT recommend that healthy people wear masks.""",6/26/2020,social_media,Ciara O'Rourke,7/9/2020,https://www.politifact.com/factchecks/2020/jul/09/viral-image/photo-discharge-paperwork-shows-outdated-recommend/,1,false
21079,true,Jeff Jackson,"Says he was ""one of the 2 (state Senators) who voted against"" North Carolina’s body camera law.",5/3/2021,social_media,Paul Specht,5/7/2021,https://www.politifact.com/factchecks/2021/may/07/jeff-jackson/us-senate-candidate-right-about-north-carolina-bod/,1,Unverifiable
8725,false,Rudy Giuliani,"""Hillary Clinton is for open borders.""",7/18/2016,speech,Amy Sherman,7/18/2016,https://www.politifact.com/factchecks/2016/jul/19/rudy-giuliani/rudy-giuliani-wrongly-says-hillary-clinton-open-bo/,1,False
1440,half-true,Scott Fitzgerald,"On the night of the Wisconsin state Senate vote on the budget package, ""a mob showed up and busted down the door and took over the Capitol.""",3/10/2011,radio,James B. Nelson,3/11/2011,https://www.politifact.com/factchecks/2011/mar/11/scott-fitzgerald/wisconsin-senate-majority-leader-scott-fitzgerald-/,1,False
12109,true,Martavius Jones,"""From a standpoint of the county government, neither school system has received an increase in funding over the past six years.""",7/13/2012,news,Zack McMillin,8/20/2012,https://www.politifact.com/factchecks/2012/aug/20/martavius-jones/memphis-schools-president-says-shelby-county-fundi/,1,Unverifiable
7523,true,Hillary Clinton,"By 2009, ""dozens of senior terrorists had been taken off the battlefield"" by drones.",6/10/2014,other,Lauren Carroll,6/11/2014,https://www.politifact.com/factchecks/2014/jun/11/hillary-clinton/hillary-clinton-says-2009-us-drones-had-killed-doz/,1,True
20682,false,Facebook posts,"A ""Liability Warning Acknowledgement Form"" allows a worker to sue their company if they get injured from the COVID-19 vaccine.",9/15/2021,social_media,Andy Nguyen,9/23/2021,https://www.politifact.com/factchecks/2021/sep/23/facebook-posts/companies-cant-be-sued-if-workers-get-injured-covi/,1,False
