Unnamed: 0,verdict,statement_originator,statement,statement_date,statement_source,factchecker,factcheck_date,factcheck_analysis_link,Toxicity,Fact assessment
869,half-true,Joe Biden,"""One percent of the American people make over 21 percent of all the income in America. That wasn’t the way before George Bush became president.""",10/23/2008,news,Robert Farley,10/27/2008,https://www.politifact.com/factchecks/2008/oct/27/joe-biden/the-rich-are-in-fact-getting-richer/,1,False
11973,half-true,Citizens for Transportation Mobility,"Atlanta Tea Party co-founder Debbie Dooley ""wants gas taxes raised.""",6/13/2012,news,Eric Stirgus,6/25/2012,https://www.politifact.com/factchecks/2012/jun/25/citizens-transportation-mobility/pro-transportation-group-says-tax-foe-pro-tax/,1,False
10030,true,John Kasich,"""Under Gov. Kasich, Ohio wages have increased by $10.3 billion.""",3/15/2013,social_media,Tom Feran,3/21/2013,https://www.politifact.com/factchecks/2013/mar/21/john-kasich/gov-john-kasich-says-ohio-wages-are-more-10-billio/,1,'true'
14440,false,Brad Schimel,"Heroin and prescription opioids are ""the number one cause of accidental or preventable death in Wisconsin.""",8/15/2014,news,Tom Kertscher,8/27/2014,https://www.politifact.com/factchecks/2014/aug/27/brad-schimel/top-cause-preventable-deaths-heroin-prescription-o/,1,False
15612,half-true,Eric Cantor,"Discretionary spending has ""increased over 20-some percent in two years if you don’t include the stimulus. If you put in the stimulus, it’s over 80 percent.""",3/17/2011,news,Warren Fiske,4/1/2011,https://www.politifact.com/factchecks/2011/apr/01/eric-cantor/eric-cantor-says-discretionary-spending-20-percent/,1,'false'
8573,pants-fire,Charles Rangel,"""I'm glad for the wording of it (an ethics report on corporate-sponsored Congressional trips) because clearly the wording exonerates me.""",2/26/2010,news,Robert Farley,2/26/2010,https://www.politifact.com/factchecks/2010/feb/26/charles-rangel/rangel-sais-ethics-report-exonerates-him/,1,Unverifiable
12938,mostly-true,Hillary Clinton,"""On average it takes 300 Americans working for a solid year to make as much money as one top CEO.""",1/21/2016,campaign,Riley Snyder,2/12/2016,https://www.politifact.com/factchecks/2016/feb/12/hillary-clinton/hillary-clinton-ad-says-it-takes-300-working-ameri/,1,True
875,true,Tom Cole,"""There’s no money"" for Planned Parenthood in the bill that would keep the government open.",9/27/2015,news,Lauren Carroll,9/29/2015,https://www.politifact.com/factchecks/2015/sep/29/tom-cole/there-planned-parenthood-funding-bill-stops-govern/,1,False
7984,mostly-true,Chris Dodd,"""The fact of the matter is that my colleague from New York, Senator Clinton, there are 50 percent of the American public that say they're not going to vote for her.""",10/30/2007,speech,David DeCamp,1/2/2008,https://www.politifact.com/factchecks/2008/jan/02/chris-dodd/polarizing-yes-but-electable-too/,1,'false'
4838,true,Lee Zeldin,"""New York leads the U.S. in population loss.""",4/12/2022,social_media,Elizabeth Egan,5/6/2022,https://www.politifact.com/factchecks/2022/may/06/lee-zeldin/does-new-york-lead-nation-population-loss/,1,True
