Unnamed: 0,verdict,statement_originator,statement,statement_date,statement_source,factchecker,factcheck_date,factcheck_analysis_link
10102,false,Michael Long,"Under New York's new abortion law, ""If the baby was born alive, they would just let the baby expire.""",2/3/2019,radio,Jill Terreri Ramos,2/22/2019,https://www.politifact.com/factchecks/2019/feb/22/michael-long/abortion-foe-makes-exaggerated-claim-about-ny-law/
13340,half-true,Ted Kanavas,"""Less than 1 percent of all the education dollars that we spend are spent on private (school) voucher programs.""",6/12/2015,other,Sarah Hauer,7/2/2015,https://www.politifact.com/factchecks/2015/jul/02/ted-kanavas/ted-kanavas-says-spending-private-school-vouchers-/
88,mostly-true,Gwen Graham,"""So far this year, more students have been killed in schools than soldiers in combat zones.""",5/18/2018,social_media,Louis Jacobson,5/21/2018,https://www.politifact.com/factchecks/2018/may/21/gwen-graham/have-more-students-been-killed-schools-soldiers-co/
15647,mostly-true,Facebook posts,"COVID-19 is ""here to stay"" and ""we need to accept that and be prepared to deal with COVID long term.""",4/26/2020,social_media,Eric Litke,4/29/2020,https://www.politifact.com/factchecks/2020/apr/29/facebook-posts/experts-say-covid-19-may-well-be-here-stay-even-af/
1578,pants-fire,Viral image,Christine Blasey Ford and Brett Kavanaugh were actors wearing masks during Kavanaugh’s U.S. Supreme Court confirmation hearing.,4/1/2022,social_media,Ciara O'Rourke,4/12/2022,https://www.politifact.com/factchecks/2022/apr/12/viral-image/no-video-doesnt-prove-blasey-ford-kavanaugh-were-a/
13969,false,Bill Pascrell,"""Ninety percent of the people who work in this country work for companies under 100 people, maybe even less than that.""",3/3/2012,social_media,Bill Wichert,3/21/2012,https://www.politifact.com/factchecks/2012/mar/21/bill-pascrell/bill-pascrell-claims-90-percent-us-workers-are-emp/
20405,pants-fire,Instagram posts,"Says Greta Thunberg said, ""the climate crisis doesn’t exist.""",6/21/2021,social_media,Jon Greenberg,6/22/2021,https://www.politifact.com/factchecks/2021/jun/22/instagram-posts/manipulated-video-distorts-greta-thunbergs-comment/
13183,mostly-false,Linda Coleman,"""Seniors can be charged five times what anybody else is charged for health care for pre-existing conditions"" under the Republican health care bill.",10/26/2018,speech,Bill McCarthy,10/30/2018,https://www.politifact.com/factchecks/2018/oct/30/linda-coleman/linda-colemans-comments-seniors-and-health-care-ex/
8226,true,DuBose Porter,"Says he ""fought against $3 billion in cuts to public education since 2003.""",6/10/2010,campaign,Willoughby Mariano,6/28/2010,https://www.politifact.com/factchecks/2010/jun/28/dubose-porter/gubernatorial-candidate-touts-record-education-cut/
3064,mostly-true,Jodie Laubenberg,"Says Texas state funds were spent on ""a TV series on spouses cheating on their wives, kind of glorifying the act of cheating.""",4/4/2013,speech,W. Gardner Selby,4/15/2013,https://www.politifact.com/factchecks/2013/apr/15/jodie-laubenberg/jodie-laubenberg-says-state-money-supports-tv-show/
1455,mostly-true,Mike Fasano,"""Just a little over 60 percent of your electric bill, my electric bill, 60 percent of that is pass-throughs, whether they be for building of nuclear plants or whatever they may be."" A planned nuclear plant repair ""will only increase that percentage.""",10/11/2011,news,Becky Bowers,10/18/2011,https://www.politifact.com/factchecks/2011/oct/18/mike-fasano/sen-mike-fasano-says-most-progress-energy-floridas/
1892,pants-fire,Donald Trump,"""The state of California is begging us to build walls in certain areas. They don’t tell you that.""",3/13/2018,other,Chris Nichols,3/13/2018,https://www.politifact.com/factchecks/2018/mar/13/donald-trump/no-mr-president-california-not-begging-wall/
10188,half-true,Charlie Justice,"U.S. Rep. Bill Young ""has accepted $737,000 from lobbyists and recipients of his earmarks.""",4/14/2010,advertisement,Aaron Sharockman,4/26/2010,https://www.politifact.com/factchecks/2010/apr/26/charlie-justice/bill-young-earmark-campaign-contributions/
14436,false,Michael Moore,"During the Monica Lewinsky scandal, the Clintons brought the Rev. Jeremiah Wright to the White House for ""spiritual counseling.""",4/21/2008,other,Robert Farley,4/25/2008,https://www.politifact.com/factchecks/2008/apr/25/michael-moore/not-a-spiritual-adviser/
2028,pants-fire,Chain email,"The health care law includes ""a 3.8% sales tax"" on ""all real estate transactions.""",7/24/2012,email,Angie Drobnic Holan,7/25/2012,https://www.politifact.com/factchecks/2012/jul/25/chain-email/3-8-percent-tax-real-estate-transactions-health-ca/
81,half-true,Cory Booker,"Says 2012 was the ""first year in American history that more minorities are being born than people in the majority.""",2/1/2013,other,Caryn Shinske,2/17/2013,https://www.politifact.com/factchecks/2013/feb/17/cory-booker/cory-booker-says-more-minorities-born-2012-racial-/
10143,pants-fire,Breitbart,"Says the California flag was supposed to be a pear, not a bear.",6/14/2015,news,Jon Greenberg,6/18/2015,https://www.politifact.com/factchecks/2015/jun/18/breitbart/no-pear-was-not-original-symbol-california/
10405,false,Viral image,"Says the Memphis Police Department ""will no longer respond"" to crimes including larceny, breaking and entering, and motor vehicle theft.",4/26/2021,social_media,Ciara O'Rourke,4/27/2021,https://www.politifact.com/factchecks/2021/apr/27/viral-image/no-memphis-police-arent-ignoring-these-crimes/
19683,true,Lee Leffingwell,Says 90 percent of Americans and 74 percent of National Rifle Association members support background checks of gun purchasers.,3/28/2013,news,W. Gardner Selby,4/4/2013,https://www.politifact.com/factchecks/2013/apr/04/lee-leffingwell/lee-leffingwell-says-polls-show-90-percent-america/
13973,mostly-false,Nancy McFarlane,"Charles Francis ""vows to slash funding for parks and open space.""",11/6/2017,other,Paul Specht,11/6/2017,https://www.politifact.com/factchecks/2017/nov/06/nancy-mcfarlane/raleigh-mayor-my-opponent-vows-slash-park-funding/
72,true,John McCain,"""Sen. Obama has declared, and repeatedly reaffirmed his intention to meet the president of Iran without any preconditions.""",5/19/2008,other,Robert Farley,5/21/2008,https://www.politifact.com/factchecks/2008/may/21/john-mccain/he-has-said-it-again-and-again/
14272,mostly-true,Charlie Crist,"""Under Rick Scott, homeowners are paying higher (home insurance) premiums for less coverage.""",9/4/2014,campaign,Joshua Gillin,9/10/2014,https://www.politifact.com/factchecks/2014/sep/10/charlie-crist/homeowners-are-paying-more-less-insurance-coverage/
18132,mostly-true,Scott Walker,"""Our last budget committed the highest level of need-based financial aid in state history.""",6/8/2015,news,Lucas Daprile,7/31/2015,https://www.politifact.com/factchecks/2015/jul/31/scott-walker/scott-walker-says-his-last-budget-committed-more-n/
2277,mostly-true,Armond Budish,"""Kasich’s budget increases state spending from $50.5 billion to $55.6 billion. This is the second largest, two-year spending increase in Ohio history.""",5/14/2011,news,Reginald Fields,6/9/2011,https://www.politifact.com/factchecks/2011/jun/09/armond-budish/state-rep-armond-budish-says-kasichs-budget-plan-c/
19265,mostly-false,Rick Scott,"""Alex Sink funneled three quarters of a million dollars in no-bid contracts to Bank of America.""",9/27/2010,advertisement,Aaron Sharockman,10/5/2010,https://www.politifact.com/factchecks/2010/oct/05/rick-scott/rick-scott-says-alex-sink-funneled-770k-her-former/
20935,false,Bloggers,"The Pentagon ""finally comes clean"" and ""admits...that there are 46 U.S. military-funded biolabs in Ukraine""",6/12/2022,news,Samantha Putterman,6/15/2022,https://www.politifact.com/factchecks/2022/jun/15/blog-posting/pentagon-didnt-admit-there-are-46-us-funded-biolab/
1520,mostly-false,Jim Justice,"""According to SCUBA divers, Summersville Lake is the clearest freshwater lake east of the Mississippi River.""",8/17/2018,social_media,Jamie Green,9/13/2018,https://www.politifact.com/factchecks/2018/sep/13/jim-justice/west-virginias-summerville-lake-clearest-east/
1084,half-true,Stacey Newman,"""Part of this omnibus gun bill that year (was) legalizing machine guns in the state of Missouri.""",10/2/2017,news,Emily Sanderson,11/3/2017,https://www.politifact.com/factchecks/2017/nov/03/stacey-newman/ban-gone-owning-machine-gun-missouri-isnt-easy/
5714,mostly-true,Paul Ryan,"""We've got about $3 trillion in trapped cash overseas that basically can't come back in this country because of our tax laws.""",9/1/2017,news,Tom Kertscher,9/15/2017,https://www.politifact.com/factchecks/2017/sep/15/paul-ryan/paul-ryan-35-corporate-tax-rate-keeps-3-trillion-t/
7935,false,Jordan Rachel,A $15-per-hour minimum wage would raise the price of a Taco Bell burrito to $38.,1/16/2021,social_media,Bill McCarthy,1/20/2021,https://www.politifact.com/factchecks/2021/jan/20/jordan-rachel/minimum-wage-increases-and-myth-38-burrito/
1976,false,New Jersey Democratic State Committee,"Gov. Chris Christie owes the state money ""for amenities like extra Gorgonzola cheese for his staff on these trips.""",6/2/2011,news,Bill Wichert,7/3/2011,https://www.politifact.com/factchecks/2011/jul/03/new-jersey-democratic-state-committee/new-jersey-democrats-say-gov-chris-christie-owes-s/
18212,mostly-false,Reince Priebus,"Says Hillary Clinton's Iran nuclear deal ""lined the pockets of the world's number one state sponsor of terrorism with your money.""",7/21/2016,speech,Tom Kertscher,7/29/2016,https://www.politifact.com/factchecks/2016/jul/29/reince-priebus/iran-nuclear-deal-was-hillary-clintons-and-it-line/
17049,mostly-true,Scott Galloway,"""The number of people who just got their voting rights restored in Florida is greater than the populations of Wyoming, Vermont, Alaska, North Dakota, South Dakota, Delaware, Rhode Island, Montana, Maine and New Hampshire.""",11/7/2018,social_media,Amy Sherman,11/8/2018,https://www.politifact.com/factchecks/2018/nov/08/steve-galloway/more-felons-regained-right-vote-florida-population/
2404,half-true,Jeb Bush,"Says there are ""ample means"" to ""tell when someone is a Christian in the Middle East ... by name, by where they’re born, their birth certificates.""",11/24/2015,radio,Jon Greenberg,12/1/2015,https://www.politifact.com/factchecks/2015/dec/01/jeb-bush/identifying-middle-eastern-christians-can-be-harde/
2858,false,Donald Trump,"""They didn’t even put up a fight against SALT""",4/29/2019,social_media,Jill Terreri Ramos,5/21/2019,https://www.politifact.com/factchecks/2019/may/21/donald-trump/trump-says-ny-didnt-fight-salt-cap/
3145,mostly-false,Ed MacDougall,"Says U.S. House candidate Carlos Curbelo ""opposes the repeal of Obamacare.""",7/26/2014,radio,Amy Sherman,7/31/2014,https://www.politifact.com/factchecks/2014/jul/31/ed-macdougall/carlos-curbelo-opposes-repeal-obamacare-says-attac/
19151,pants-fire,Nikki Haley,"Says the Democratic leadership and presidential candidates ""are mourning the loss of (Qassem) Soleimani""",1/6/2020,news,Louis Jacobson,1/7/2020,https://www.politifact.com/factchecks/2020/jan/07/nikki-haley/nikki-haleys-pants-fire-claim-top-democrats-are-mo/
10564,false,Facebook posts,A photograph shows members of the U.S. women’s soccer team kneeling during the national anthem at the Tokyo Olympics.,7/21/2021,social_media,Madison Czopek,7/26/2021,https://www.politifact.com/factchecks/2021/jul/26/facebook-posts/its-not-true-womens-us-soccer-team-kneeled-during-/
8452,true,Claire McCaskill,"Small businesses ""create two out of every three American jobs.""",2/14/2017,news,Austin Hough,3/17/2017,https://www.politifact.com/factchecks/2017/mar/18/claire-mccaskill/sen-mccaskill-right-about-small-business-job-creat/
9489,false,Doug Miller,"Says less than half of 1 percent of all the Texas legislators who ever served draw ""a benefit"" from pensions tied to the salaries of state district judges.",5/21/2013,speech,W. Gardner Selby,6/13/2013,https://www.politifact.com/factchecks/2013/jun/13/doug-miller/legislator-says-less-half-1-percent-texas-legislat/
2182,pants-fire,Duffel Blog,Bowe Bergdahl wanders off during court-martial,10/12/2017,news,Amy Sherman,11/16/2017,https://www.politifact.com/factchecks/2017/nov/16/duffel-blog/no-bowe-bergdahl-didnt-wander-during-court/
3094,true,Mike Hashimoto,"""Public display of a long rifle is perfectly legal in Texas.""",6/2/2014,speech,W. Gardner Selby,6/5/2014,https://www.politifact.com/factchecks/2014/jun/05/mike-hashimoto/texas-law-effectively-permits-long-rifles-be-toted/
12413,false,Viral image,"Quotes Donald Trump as saying, ""I’ll tell you the funniest thing. I’ll go backstage before a Miss Teen USA show, and everyone’s getting dressed and ready and everything and no men are anywhere. … You know, I’m inspecting. The girls (14-16) are standing there with no clothes on.""",9/21/2020,social_media,Madison Czopek,9/25/2020,https://www.politifact.com/factchecks/2020/sep/25/viral-image/no-president-trump-didnt-say-about-miss-teen-usa-p/
21124,mostly-true,Doonesbury,"Says 3,000 Americans ""died of gunfire"" between the time of the Ebola scare in Dallas and the midterm elections.",12/14/2014,other,Jon Greenberg,12/18/2014,https://www.politifact.com/factchecks/2014/dec/18/doonesbury/doonesbury-says-3000-died-guns-during-time-ebola-s/
16282,half-true,Jim Jordan,"""Only seven of 18 federal food assistance programs have been associated with positive health and nutrition outcomes, while the remaining 11 have not been effective.""",6/1/2011,testimony,Tom Feran,6/30/2011,https://www.politifact.com/factchecks/2011/jun/30/jim-jordan/rep-jim-jordan-says-7-18-food-programs-check-out-1/
