Unnamed: 0,verdict,statement_originator,statement,statement_date,statement_source,factchecker,factcheck_date,factcheck_analysis_link
19406,mostly-false,Rick Scott,"Says Bill Nelson ""doesn’t pay payroll taxes for his employees. He doesn’t even provide them with health benefits. It’s stealing money from Medicare and Social Security.""",7/30/2018,campaign,Katie Akin,8/16/2018,https://www.politifact.com/factchecks/2018/aug/16/rick-scott/nelson-wasnt-paying-payroll-taxes-because-he-didnt/
6037,mostly-false,Rick Scott,"""We have spent $350 million to deal with sea-level rise"" in the Miami area and ""hundreds of millions of dollars to deal with coral reefs.""",10/21/2014,television,Amy Sherman,10/29/2014,https://www.politifact.com/factchecks/2014/oct/29/rick-scott/florida-spending-350-million-deal-sea-level-rise/
16029,half-true,Facebook posts,"""More people, aged 18-45, died of Fentanyl overdoses in 2020 than covid, car accidents, cancer, + suicide combined.""",12/19/2021,social_media,Louis Jacobson,12/23/2021,https://www.politifact.com/factchecks/2021/dec/23/facebook-posts/fentanyl-deaths-spike-facebook-post-overstates-how/
811,mostly-false,Eric Hovde,"The United States can immediately tap a domestic energy resource of ""more than 1.5 trillion barrels of oil, six times more than Saudi Arabia.""",7/2/2012,news,Dave Umhoefer,7/12/2012,https://www.politifact.com/factchecks/2012/jul/12/eric-hovde/eric-hovde-says-us-has-six-times-more-oil-saudi-ar/
11996,pants-fire,Americans for Prosperity,"""A government panel that didn't include cancer specialists says women shouldn't receive mammograms until age 50...If government takes over health care, recommendations like these could become the law for all kinds of diseases.""",3/16/2010,advertisement,Robert Farley,3/16/2010,https://www.politifact.com/factchecks/2010/mar/16/americans-prosperity/ad-claims-if-health-reform-bill-passes-government-/
20333,false,Facebook posts,"""All communications to families from the US Navy have been halted.""",1/21/2022,social_media,Gabrielle Settles,1/25/2022,https://www.politifact.com/factchecks/2022/jan/25/facebook-posts/claim-us-navy-halted-all-communication-between-sai/
6714,half-true,Veronica Escobar,"Says El Paso is the ""safest city of our size in the nation.""",5/22/2013,news,W. Gardner Selby,5/30/2013,https://www.politifact.com/factchecks/2013/may/30/veronica-escobar/el-paso-leader-says-el-paso-safest-city-its-size-c/
4139,pants-fire,Bob Good,"Ketanji Brown Jackson ""believes in abortion on demand up to the moment of birth.""",3/22/2022,radio,Warren Fiske,3/29/2022,https://www.politifact.com/factchecks/2022/mar/29/bob-good/bob-good-invents-position-ketanji-brown-jackson-la/
20360,pants-fire,Liberal Blogger,"Says a Republican U.S. House member from Texas, Rob McCaskill, tweeted that he ""can’t wait for the next 9/11.""",2/11/2017,blog,W. Gardner Selby,2/15/2017,https://www.politifact.com/factchecks/2017/feb/15/liberal-blogger/fake-news-texas-congressman-pecos-wishes-another-9/
12764,half-true,Richard Corcoran,"Says small businesses ""make up 98.9 percent of all businesses in the state and employ nearly half of the state's private sector workforce"" and ""almost never receive a penny of government money.""",4/3/2017,news,Allison Graves,4/11/2017,https://www.politifact.com/factchecks/2017/apr/11/richard-corcoran/are-small-businesses-getting-gypped-incentives/
