Unnamed: 0,verdict,statement_originator,statement,statement_date,statement_source,factchecker,factcheck_date,factcheck_analysis_link,Toxicity,Fact assessment
10395,FALSE,Viral image,"Nigerians are ""burning Chinese stores.""",4/19/2020,social_media,Ciara O'Rourke,4/22/2020,https://www.politifact.com/factchecks/2020/apr/22/viral-image/video-shows-popular-market-nigeria-caught-fire/,,
16626,half-true,Jim Steineke,"The streetcar project planned by Mayor Tom Barrett would be a ""1900s style trolley.""",11/19/2014,social_media,James B. Nelson,1/16/2015,https://www.politifact.com/factchecks/2015/jan/16/jim-steineke/rep-jim-steineke-says-milwaukee-streetcar-would-be/,,
13802,FALSE,Bob McDonnell,"The Obama administration is ""unwinding our nation’s welfare-to-work requirements.""",08/06/2012,news,Sean Gorman,8/13/2012,https://www.politifact.com/factchecks/2012/aug/13/bob-mcdonnell/bob-mcdonnell-says-obama-unwinding-welfare-work-re/,,
2682,pants-fire,Workers' Voice,Says Josh Mandel bet against Ohio families,08/08/2012,advertisement,Stephen Koff,8/14/2012,https://www.politifact.com/factchecks/2012/aug/14/workers-voice/workers-voice-ad-says-josh-mandel-bet-against-ohio/,,
13640,half-true,John Stone,"Says he’s ""the only licensed firearms dealer in America running for Congress.""",4/23/2014,campaign,Nancy Badertscher,5/14/2014,https://www.politifact.com/factchecks/2014/may/14/john-stone/stone-claims-unique-position-gun-dealer/,,
9085,pants-fire,Bloggers,"""Kim Jong Un dead: North Koreans calling Trump an assassin""",07/06/2017,blog,Miriam Valverde,7/20/2017,https://www.politifact.com/factchecks/2017/jul/20/blog-posting/its-fake-news-american-killed-north-koreas-leader-/,,
17961,pants-fire,Bloggers,"Says a Michigan funeral home employee was ""cremated by mistake while taking a nap.""",2/25/2020,blog,Ciara O'Rourke,2/26/2020,https://www.politifact.com/factchecks/2020/feb/26/blog-posting/story-about-accidentally-cremated-funeral-home-wor/,,
5116,pants-fire,Facebook posts,"Says ""Kamala Harris is not able to be VP. Because she's a felon. She lied on her application to buy a gun here in CA.""",09/01/2020,social_media,Madison Czopek,09/08/2020,https://www.politifact.com/factchecks/2020/sep/08/facebook-posts/no-sen-kamala-harris-hasnt-been-convicted-felony/,,
19180,mostly-true,Democratic Party of Wisconsin,"Says Ron Johnson voted to turn Medicare ""into a voucher program.""",05/04/2016,radio,Tom Kertscher,06/10/2016,https://www.politifact.com/factchecks/2016/jun/10/state-democratic-party-wisconsin/sen-ron-johnson-voted-paul-ryan-plans-make-medicar/,,
2739,TRUE,Paul Sarlo,"""The state's unemployment rate is fifth-highest in the country, a full point above the nationwide rate and higher than all of our...neighboring states.""",6/25/2012,speech,Bill Wichert,6/27/2012,https://www.politifact.com/factchecks/2012/jun/27/paul-sarlo/new-jerseys-unemployment-rate-5th-highest-nation-s/,,
13185,mostly-true,Keith Ellison,"""Americans work way more than an average of industrialized countries around the world.""",02/09/2014,television,Julie Kliegman,02/09/2014,https://www.politifact.com/factchecks/2014/feb/09/keith-ellison/keith-ellison-says-americans-work-way-more-others/,,
1090,TRUE,Allen Peake,"Unlike marijuana, medical cannabis oil cannot get you high.",12/03/2014,news,April Hunt,12/09/2014,https://www.politifact.com/factchecks/2014/dec/09/allen-peake/weeding-out-different-effects-cannabis-oil-and-mar/,,
8561,mostly-true,Don Gaetz,"""We were able to provide $428 million worth of property tax relief.""",03/11/2016,speech,Joshua Gillin,3/17/2016,https://www.politifact.com/factchecks/2016/mar/17/don-gaetz/legislature-provided-428-million-worth-property-ta/,,
14838,half-true,Mike Huckabee,"""The average American is working through the month of May just to pay off the government.""",1/25/2008,speech,Robert Farley,1/25/2008,https://www.politifact.com/factchecks/2008/jan/25/mike-huckabee/it-all-depends-what-you-consider-average/,,
6874,FALSE,Crossroads GPS,"""Millions could lose their health care coverage and be forced into a government pool"" under the new health care law.",5/16/2012,advertisement,Angie Drobnic Holan,5/21/2012,https://www.politifact.com/factchecks/2012/may/21/crossroads-gps/crossroads-says-obama-broke-his-promise-health-car/,,
10853,FALSE,Facebook posts,"""Stalin once ripped all the feathers off a live chicken as a lesson to his followers.""",10/29/2021,blog,Luiz Romero,11/16/2021,https://www.politifact.com/factchecks/2021/nov/16/facebook-posts/false-anecdote-about-stalin-and-chicken-circulates/,,
8634,pants-fire,Viral image,"Says Alexandria Ocasio-Cortez ""was fired from ‘Hot Dog On A Stick’ in 2008 — for incompetence.""",03/08/2019,social_media,Ciara O'Rourke,03/12/2019,https://www.politifact.com/factchecks/2019/mar/12/viral-image/aoc-wasnt-fired-hot-dog-stick-meme-says/,,
15962,half-true,Rand Paul,"Says Hillary Clinton ""completely ignored"" ""dozens and dozens of requests for more security"" for the Benghazi consulate.",04/12/2015,television,Katie Sanders,04/12/2015,https://www.politifact.com/factchecks/2015/apr/12/rand-paul/rand-paul-attacks-hillary-clintons-response-bengha/,,
12507,pants-fire,Barbara Buono,"Says Chris Christie’s plan ""to kick-start our economy"" is to propose an ""income tax cut that disproportionately benefits the wealthy, and...he's still proposing it.""",1/13/2013,news,Bill Wichert,1/24/2013,https://www.politifact.com/factchecks/2013/jan/24/barbara-buono/barbara-buono-claims-chris-christie-still-proposin/,,
8221,TRUE,Bill White,"""By the end of Governor Rick Perry's term, he will have drained Texas taxpayers ... of more than $360,000 to pay for the rental mansion he has been living in while the historic Governor's Mansion is repaired.""",4/13/2010,news,Meghan Ashford-Grooms,4/24/2010,https://www.politifact.com/factchecks/2010/apr/25/bill-white/white-says-perrys-rental-home-will-cost-taxpayers-/,,
