Unnamed: 0,verdict,statement_originator,statement,statement_date,statement_source,factchecker,factcheck_date,factcheck_analysis_link,Fact assessment,Toxicity
10345,false,Viral image,Says Kayleigh McEnany is John F. Kennedy Jr.’s daughter.,7/15/2021,social_media,Ciara O'Rourke,7/20/2021,https://www.politifact.com/factchecks/2021/jul/20/viral-image/no-kayleigh-mcenany-isnt-jfk-jrs-daughter/,false,
7045,mostly-false,Rick Santorum,"In Europe, ""church attendance rates (are) in the single digits"" because churches are supported by taxes.",7/18/2011,other,Josh Rogers,7/27/2011,https://www.politifact.com/factchecks/2011/jul/27/rick-santorum/rick-santorum-says-church-attendance-single-digits/,No verdict,1
11242,true,Hillary Clinton,"Says Donald Trump called pregnant employees ""an inconvenience.""",6/21/2016,speech,Nadia Pflaum,6/24/2016,https://www.politifact.com/factchecks/2016/jun/24/hillary-clinton/clinton-trump-called-pregnant-employees-inconvenie/,true,1
2275,mostly-false,Christopher Coyne,"""We’re talking about a law that would allow a child to be aborted right up to the moment of birth.""",2/6/2019,speech,Colin Meyn,2/15/2019,https://www.politifact.com/factchecks/2019/feb/16/christopher-coyne/would-proposed-vermont-law-allow-abortions-right-m/,No verdict,1
625,false,Angel Taveras,"The Providence teacher contract ""is one of the longest in the country.""",5/15/2011,news,C. Eugene Emery Jr.,5/24/2011,https://www.politifact.com/factchecks/2011/may/24/angel-taveras/providence-mayor-taveras-says-citys-teacher-union-/,No verdict,1
9288,mostly-false,Barbara Cargill,"""The Federal Reserve system has presided over about a 95... percent decline in the U.S. dollar.""",3/11/2010,meeting,Ciara O'Rourke,3/22/2010,https://www.politifact.com/factchecks/2010/mar/22/barbara-cargill/barbara-cargill-says-federal-reserve-presided-over/,False,1
15578,half-true,Chip Rogers,"""Recent international reports show the United States near the bottom among industrialized nations for k-12 academic achievement.""",7/11/2011,speech,Eric Stirgus,8/23/2011,https://www.politifact.com/factchecks/2011/aug/23/chip-rogers/us-students-big-trouble-georgia-pol-says/,No verdict,1
4429,mostly-false,Rick Scott,"""Under Governor Crist, 3,000 teachers laid off.""",6/23/2014,advertisement,Amy Sherman,6/26/2014,https://www.politifact.com/factchecks/2014/jun/26/rick-scott/scott-ad-blames-crist-3000-teachers-laid/,no verdict,1
7065,pants-fire,Donald Trump,"Says before he planned a rally on June 19 ""nobody had ever heard of"" Juneteenth.",6/17/2020,news,Jon Greenberg,6/18/2020,https://www.politifact.com/factchecks/2020/jun/18/donald-trump/donald-trumps-pants-fire-claim-nobody-had-heard-ju/,False,1
5065,mostly-false,Donald Trump,"""122 vicious prisoners, released by the Obama Administration from Gitmo, have returned to the battlefield.""",3/7/2017,social_media,Lauren Carroll,3/7/2017,https://www.politifact.com/factchecks/2017/mar/07/donald-trump/donald-trump-wrongly-blames-barack-obama-former-gu/,False,1
13883,mostly-false,Scott Fitzgerald,"Wisconsin was embroiled in a ""constitutional crisis"" brought on by the Democratic senators fleeing the state for Illinois to block Gov. Scott Walker's budget-repair bill.",3/3/2011,statement,James B. Nelson,3/24/2011,https://www.politifact.com/factchecks/2011/mar/24/scott-fitzgerald/wisconsin-senate-majority-leader-scott-fitzgerald-/,True,1
19822,mostly-true,Alan Grayson,"Says Patrick Murphy is one of ""only three Democrats in the House today who voted"" to create the Benghazi committee.",5/11/2016,email,Joshua Gillin,5/16/2016,https://www.politifact.com/factchecks/2016/may/16/alan-grayson/patrick-murphy-voted-house-benghazi-committee-gray/,no verdict,1
837,mostly-true,Joe Biden,"Says Donald Trump ""proposes cutting a half a billion dollars of local police support.""",8/23/2020,news,Jon Greenberg,8/25/2020,https://www.politifact.com/factchecks/2020/aug/25/joe-biden/biden-says-trump-wants-cut-local-law-enforcement-a/,No verdict,1
13485,true,Loretta Lynch,"""The LGBT community is more often the victims of hate crimes than any other recognized group.""",6/19/2016,news,Amy Sherman,6/23/2016,https://www.politifact.com/factchecks/2016/jun/23/loretta-lynch/loretta-lynch-says-gays-and-lesbians-are-most-freq/,True,1
